 , , ,F5D1T5,F5D1T10,F5D2T5,F5D2T10,F5D3T5,F5D3T10,F6D1T5,F6D1T10,F6D2T5,F6D2T10,F6D3T5,F6D3T10,F7D1T5,F7D1T10,F7D2T5,F7D2T10,F7D3T5,F7D3T10,F8D1T5,F8D1T10,F8D2T5,F8D2T10,F8D3T5,F8D3T10
Tmax75,\tau75,Max,0.11,0.16,0.13,0.18,0.16,0.41,0.12,0.18,0.08,0.15,0.17,0.57,0.10,0.25,0.06,0.79,0.12,0.37,0.09,0.20,0.06,0.29,0.10,0.44
Tmax75,\tau100,Min,0.00,0.01,0.00,0.01,0.01,0.02,0.00,0.01,0.00,0.01,0.01,0.02,0.00,0.01,0.00,0.01,0.01,0.04,0.00,0.01,0.00,0.01,0.01,0.05
Tmax75,\tau100,Avg,0.05,0.09,0.04,0.09,0.05,0.12,0.05,0.10,0.05,0.08,0.05,0.15,0.02,0.07,0.03,0.12,0.04,0.13,0.02,0.06,0.03,0.07,0.05,0.12
Tmax75,\tau100,StdDev,0.05,0.05,0.03,0.07,0.04,0.07,0.05,0.05,0.04,0.04,0.05,0.10,0.02,0.06,0.02,0.14,0.02,0.06,0.02,0.04,0.03,0.06,0.03,0.07
Tmax75,\tau100,Max,0.13,0.18,0.11,0.25,0.12,0.26,0.13,0.17,0.15,0.15,0.16,0.35,0.06,0.20,0.07,0.49,0.08,0.24,0.05,0.16,0.12,0.20,0.09,0.27
Tmax75,\tau125,Min,0.00,0.01,0.00,0.01,0.00,0.05,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.01,0.04,0.00,0.01,0.00,0.01,0.01,0.04
Tmax75,\tau125,Avg,0.04,0.09,0.04,0.08,0.06,0.16,0.05,0.08,0.03,0.09,0.05,0.19,0.03,0.08,0.03,0.10,0.04,0.14,0.03,0.07,0.03,0.07,0.03,0.11
Tmax75,\tau125,StdDev,0.04,0.05,0.03,0.04,0.04,0.07,0.06,0.03,0.02,0.07,0.06,0.13,0.05,0.08,0.03,0.13,0.04,0.10,0.02,0.04,0.03,0.05,0.02,0.06
Tmax75,\tau125,Max,0.12,0.17,0.10,0.13,0.13,0.29,0.17,0.13,0.06,0.23,0.18,0.39,0.16,0.30,0.11,0.43,0.13,0.40,0.06,0.16,0.09,0.18,0.06,0.23
Tmax75,\tau150,Min,0.00,0.01,0.00,0.01,0.00,0.04,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.04,0.00,0.01,0.00,0.01,0.00,0.04
