instance,F1,F2,F3,F4
R2D1T5Delta50Tmax50Iter0,0.009135961532592773,0.011868000030517578,0.009414911270141602,0.007875919342041016
R2D1T5Delta50Tmax50Iter1,0.0029039382934570312,0.005933046340942383,0.005054950714111328,0.0039141178131103516
R2D1T5Delta50Tmax50Iter2,0.0017430782318115234,0.0019040107727050781,0.0016639232635498047,0.0018050670623779297
R2D1T5Delta50Tmax50Iter3,0.0017249584197998047,0.0016551017761230469,0.0014710426330566406,0.0015370845794677734
R2D1T5Delta50Tmax50Iter4,0.0019850730895996094,0.0020570755004882812,0.0018110275268554688,0.0018038749694824219
R2D1T5Delta50Tmax50Iter5,0.0014619827270507812,0.0015590190887451172,0.0013921260833740234,0.0015399456024169922
R2D1T5Delta50Tmax50Iter6,0.002162933349609375,0.0020380020141601562,0.0016930103302001953,0.0021729469299316406
R2D1T5Delta50Tmax50Iter7,0.009341955184936523,0.0068509578704833984,0.007306098937988281,0.00601506233215332
R2D1T5Delta50Tmax50Iter8,0.004029035568237305,0.006190776824951172,0.005881786346435547,0.006021976470947266
R2D1T5Delta50Tmax50Iter9,0.004767894744873047,0.007475137710571289,0.00627589225769043,0.005025148391723633
R2D1T5Delta50Tmax75Iter0,0.010277032852172852,0.011919021606445312,0.010046958923339844,0.00905299186706543
R2D1T5Delta50Tmax75Iter1,0.009491920471191406,0.009852886199951172,0.007277965545654297,0.007816791534423828
R2D1T5Delta50Tmax75Iter2,0.003407001495361328,0.003371000289916992,0.002502918243408203,0.0025949478149414062
R2D1T5Delta50Tmax75Iter3,0.0019741058349609375,0.002045869827270508,0.001859903335571289,0.0017719268798828125
R2D1T5Delta50Tmax75Iter4,0.0021660327911376953,0.0022230148315429688,0.0019030570983886719,0.002031087875366211
R2D1T5Delta50Tmax75Iter5,0.003117799758911133,0.006163120269775391,0.005158901214599609,0.005439043045043945
R2D1T5Delta50Tmax75Iter6,0.007269144058227539,0.008468151092529297,0.006312847137451172,0.0073468685150146484
R2D1T5Delta50Tmax75Iter7,0.009860992431640625,0.007183074951171875,0.007425069808959961,0.0060808658599853516
R2D1T5Delta50Tmax75Iter8,0.013280153274536133,0.015534162521362305,0.013203859329223633,0.014935016632080078
R2D1T5Delta50Tmax75Iter9,0.017750024795532227,0.0195920467376709,0.015856027603149414,0.016033172607421875
R2D1T5Delta50Tmax150Iter0,0.015752077102661133,0.019191980361938477,0.012775897979736328,0.01499795913696289
R2D1T5Delta50Tmax150Iter1,0.2885098457336426,0.2937798500061035,0.09003496170043945,0.1162419319152832
R2D1T5Delta50Tmax150Iter2,0.02466583251953125,0.02142500877380371,0.019336938858032227,0.014245033264160156
R2D1T5Delta50Tmax150Iter3,0.030285120010375977,0.03188300132751465,0.01497507095336914,0.016184091567993164
R2D1T5Delta50Tmax150Iter4,0.015510082244873047,0.024863004684448242,0.015145063400268555,0.017206907272338867
R2D1T5Delta50Tmax150Iter5,0.00804281234741211,0.010081052780151367,0.007009029388427734,0.007472991943359375
R2D1T5Delta50Tmax150Iter6,0.038969993591308594,0.03970813751220703,0.041146039962768555,0.042196035385131836
R2D1T5Delta50Tmax150Iter7,0.042307138442993164,0.0659339427947998,0.04172515869140625,0.2095320224761963
R2D1T5Delta50Tmax150Iter8,0.03519701957702637,0.03880715370178223,0.031130075454711914,0.03223299980163574
R2D1T5Delta50Tmax150Iter9,0.04353189468383789,0.0806891918182373,0.06909394264221191,0.06491494178771973
R2D1T5Delta50Tmax300Iter0,0.07179880142211914,0.09291195869445801,0.11350893974304199,0.12075114250183105
R2D1T5Delta50Tmax300Iter1,0.02637195587158203,0.0249330997467041,0.047022104263305664,0.038237810134887695
R2D1T5Delta50Tmax300Iter2,0.08730697631835938,0.13457584381103516,0.11680293083190918,0.10471487045288086
R2D1T5Delta50Tmax300Iter3,0.09512114524841309,0.06057882308959961,0.06414389610290527,0.09352397918701172
R2D1T5Delta50Tmax300Iter4,0.44783592224121094,0.4004781246185303,0.19614100456237793,0.1742098331451416
R2D1T5Delta50Tmax300Iter5,0.09414196014404297,0.09699392318725586,0.08653903007507324,0.09677600860595703
R2D1T5Delta50Tmax300Iter6,0.040750980377197266,0.03494000434875488,0.059782981872558594,0.13898706436157227
R2D1T5Delta50Tmax300Iter7,0.024325132369995117,0.04837608337402344,0.029507875442504883,0.03126692771911621
R2D1T5Delta50Tmax300Iter8,0.03973507881164551,0.02835702896118164,0.03351616859436035,0.03416299819946289
R2D1T5Delta50Tmax300Iter9,0.03577899932861328,0.0336761474609375,0.06092691421508789,0.04559206962585449
R2D1T5Delta50Tmax600Iter0,0.04101896286010742,0.04283308982849121,0.06221199035644531,0.046061038970947266
R2D1T5Delta50Tmax600Iter1,0.025887012481689453,0.02623581886291504,0.08915209770202637,0.03044891357421875
R2D1T5Delta50Tmax600Iter2,0.02543497085571289,0.029308080673217773,0.1599102020263672,0.05625200271606445
R2D1T5Delta50Tmax600Iter3,0.0908350944519043,0.036329030990600586,0.055860042572021484,0.06133913993835449
R2D1T5Delta50Tmax600Iter4,0.0335540771484375,0.03896212577819824,0.2536740303039551,0.051518917083740234
R2D1T5Delta50Tmax600Iter5,0.026242971420288086,0.037719011306762695,0.07635307312011719,0.15071892738342285
R2D1T5Delta50Tmax600Iter6,0.0355830192565918,0.033576011657714844,0.07002592086791992,0.11211395263671875
R2D1T5Delta50Tmax600Iter7,0.02475881576538086,0.04689502716064453,0.03795814514160156,0.03222489356994629
R2D1T5Delta50Tmax600Iter8,0.042439937591552734,0.03048086166381836,0.04265594482421875,0.03519105911254883
R2D1T5Delta50Tmax600Iter9,0.03810906410217285,0.03334784507751465,0.07436490058898926,0.06099390983581543
R2D1T5Delta75Tmax50Iter0,0.01001882553100586,0.011677026748657227,0.009917974472045898,0.009093999862670898
R2D1T5Delta75Tmax50Iter1,0.002378225326538086,0.005702018737792969,0.005087852478027344,0.003959178924560547
R2D1T5Delta75Tmax50Iter2,0.0018160343170166016,0.0019750595092773438,0.0017888545989990234,0.0017981529235839844
R2D1T5Delta75Tmax50Iter3,0.0016129016876220703,0.0017039775848388672,0.0014870166778564453,0.0015900135040283203
