 , , ,F1,F1,F1,F1,F1,F1,F2,F2,F2,F2,F2,F2,F3,F3,F3,F3,F3,F3,F4,F4,F4,F4,F4,F4
 , , ,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3
 , , ,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10
Tmax50,tau100,Iter6,0.00,0.01,0.00,0.01,0.01,0.11,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01
Tmax50,tau100,Iter7,0.04,0.03,0.00,0.01,0.07,0.04,0.08,0.07,0.00,0.01,0.09,0.08,0.06,0.09,0.00,0.01,0.04,0.08,0.01,0.04,0.00,0.01,0.01,0.04
Tmax50,tau100,Iter8,0.01,0.18,0.00,0.01,0.04,0.04,0.01,0.14,0.00,0.01,0.05,0.05,0.01,0.05,0.00,0.01,0.01,0.08,0.01,0.03,0.00,0.01,0.01,0.04
Tmax50,tau100,Iter9,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01
Tmax50,tau125,Iter0,0.05,0.16,0.00,0.02,0.07,0.06,0.07,0.15,0.00,0.02,0.05,0.11,0.01,0.12,0.00,0.02,0.05,0.16,0.04,0.13,0.00,0.02,0.03,0.08
Tmax50,tau125,Iter1,0.01,0.01,0.06,0.01,0.01,0.01,0.00,0.01,0.01,0.02,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Tmax50,tau125,Iter2,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01
Tmax50,tau125,Iter3,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01
Tmax50,tau125,Iter4,0.00,0.01,0.00,0.01,0.00,0.05,0.00,0.02,0.00,0.01,0.00,0.09,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.04
Tmax50,tau125,Iter5,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.01
Tmax50,tau125,Iter6,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01
Tmax50,tau125,Iter7,0.09,0.07,0.00,0.01,0.01,0.04,0.07,0.04,0.00,0.01,0.01,0.03,0.04,0.04,0.00,0.01,0.01,0.12,0.04,0.04,0.00,0.01,0.01,0.02
Tmax50,tau125,Iter8,0.01,0.11,0.00,0.01,0.06,0.11,0.01,0.14,0.00,0.01,0.08,0.11,0.01,0.05,0.00,0.01,0.01,0.07,0.01,0.06,0.00,0.01,0.03,0.05
Tmax50,tau125,Iter9,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01
Tmax50,tau150,Iter0,0.07,0.18,0.00,0.02,0.01,0.21,0.08,0.11,0.00,0.02,0.01,0.12,0.01,0.19,0.00,0.02,0.01,0.13,0.06,0.17,0.00,0.02,0.01,0.07
Tmax50,tau150,Iter1,0.01,0.01,0.13,0.02,0.01,0.01,0.00,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Tmax50,tau150,Iter2,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01
Tmax50,tau150,Iter3,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01
Tmax50,tau150,Iter4,0.00,0.02,0.00,0.01,0.00,0.07,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.02
Tmax50,tau150,Iter5,0.00,0.01,0.00,0.01,0.01,0.02,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.01
Tmax50,tau150,Iter6,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01
Tmax50,tau150,Iter7,0.06,0.09,0.00,0.01,0.01,0.09,0.08,0.06,0.00,0.01,0.01,0.03,0.05,0.06,0.00,0.01,0.01,0.12,0.04,0.06,0.00,0.01,0.01,0.02
Tmax50,tau150,Iter8,0.01,0.12,0.00,0.01,0.01,0.02,0.01,0.11,0.00,0.01,0.01,0.03,0.01,0.05,0.00,0.01,0.01,0.02,0.01,0.07,0.00,0.01,0.01,0.02
Tmax50,tau150,Iter9,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01
Tmax75,tau50,Iter0,0.08,0.23,0.00,0.02,0.05,1.02,0.07,0.17,0.01,0.05,0.05,1.36,0.06,0.30,0.00,0.01,0.05,0.87,0.01,0.22,0.00,0.05,0.04,0.65
Tmax75,tau50,Iter1,0.01,0.01,0.04,0.02,0.03,0.03,0.01,0.01,0.01,0.07,0.11,0.07,0.01,0.01,0.01,0.01,0.05,0.07,0.01,0.01,0.01,0.02,0.02,0.02
Tmax75,tau50,Iter2,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.02
Tmax75,tau50,Iter3,0.00,0.01,0.00,0.01,0.01,0.08,0.00,0.02,0.00,0.02,0.01,0.07,0.00,0.01,0.00,0.01,0.01,0.03,0.00,0.01,0.00,0.01,0.01,0.11
