 , , ,F1D1T5,F1D1T10,F1D2T5,F1D2T10,F1D3T5,F1D3T10,F2D1T5,F2D1T10,F2D2T5,F2D2T10,F2D3T5,F2D3T10,F3D1T5,F3D1T10,F3D2T5,F3D2T10,F3D3T5,F3D3T10,F4D1T5,F4D1T10,F4D2T5,F4D2T10,F4D3T5,F4D3T10
Tmax50,\tau50,Min,0.001608133316040039,0.003952980041503906,0.001962900161743164,0.0052030086517333984,0.0034580230712890625,0.006005048751831055,0.001753091812133789,0.004233121871948242,0.002140045166015625,0.005967140197753906,0.0034830570220947266,0.006348133087158203,0.0015170574188232422,0.003626108169555664,0.0017850399017333984,0.0048139095306396484,0.003123044967651367,0.0056340694427490234,0.0016560554504394531,0.00392603874206543,0.0020470619201660156,0.0050470829010009766,0.0031669139862060547,0.005839824676513672
Tmax50,\tau50,Avg,0.00,0.04,0.00,0.01,0.01,0.11,0.00,0.04,0.00,0.01,0.02,0.15,0.00,0.04,0.00,0.01,0.01,0.11,0.00,0.04,0.00,0.01,0.02,0.11
Tmax50,\tau50,StdDev,0.00,0.08,0.00,0.00,0.01,0.21,0.00,0.06,0.00,0.00,0.02,0.28,0.00,0.07,0.00,0.00,0.01,0.18,0.00,0.07,0.00,0.00,0.02,0.17
Tmax50,\tau50,Max,0.011827945709228516,0.2821969985961914,0.006079912185668945,0.01857304573059082,0.02432703971862793,0.7299349308013916,0.013031005859375,0.21521306037902832,0.00924992561340332,0.01966404914855957,0.08141613006591797,0.9786181449890137,0.013852119445800781,0.23925995826721191,0.005604982376098633,0.02195906639099121,0.034729957580566406,0.5806941986083984,0.011202096939086914,0.23198604583740234,0.006249904632568359,0.017251014709472656,0.07813096046447754,0.561176061630249
Tmax50,\tau75,Min,0.0016379356384277344,0.003921031951904297,0.001934051513671875,0.005316019058227539,0.0024721622467041016,0.0072100162506103516,0.0017740726470947266,0.004233121871948242,0.002134084701538086,0.005967140197753906,0.002638101577758789,0.007387876510620117,0.0014989376068115234,0.0036339759826660156,0.0018248558044433594,0.004729032516479492,0.0023200511932373047,0.006042957305908203,0.0016810894012451172,0.003921031951904297,0.0020399093627929688,0.0051479339599609375,0.002479076385498047,0.006373882293701172
Tmax50,\tau75,Avg,0.00,0.04,0.00,0.01,0.01,0.05,0.01,0.06,0.00,0.01,0.01,0.06,0.00,0.05,0.00,0.01,0.01,0.07,0.00,0.04,0.00,0.01,0.01,0.05
Tmax50,\tau75,StdDev,0.00,0.09,0.00,0.00,0.00,0.07,0.00,0.14,0.00,0.00,0.01,0.08,0.00,0.09,0.00,0.00,0.00,0.12,0.00,0.06,0.00,0.00,0.00,0.05
Tmax50,\tau75,Max,0.013082027435302734,0.2954750061035156,0.0059049129486083984,0.019184112548828125,0.016458988189697266,0.2179410457611084,0.01595902442932129,0.48087191581726074,0.009165048599243164,0.01963210105895996,0.019906044006347656,0.2620429992675781,0.013165950775146484,0.31780099868774414,0.0056858062744140625,0.021661996841430664,0.0174410343170166,0.3863189220428467,0.011198997497558594,0.20511698722839355,0.006376028060913086,0.01744699478149414,0.01656317710876465,0.15690302848815918
Tmax50,\tau100,Min,0.001634836196899414,0.0039179325103759766,0.0019330978393554688,0.0052111148834228516,0.002446889877319336,0.00899505615234375,0.0017778873443603516,0.004213094711303711,0.002129077911376953,0.005995035171508789,0.002618074417114258,0.009217977523803711,0.0014948844909667969,0.003643035888671875,0.0018010139465332031,0.004747867584228516,0.0022749900817871094,0.007581949234008789,0.0016889572143554688,0.003930091857910156,0.002045869827270508,0.005132913589477539,0.002398967742919922,0.007740974426269531
Tmax50,\tau100,Avg,0.00,0.05,0.00,0.01,0.01,0.04,0.01,0.06,0.00,0.01,0.01,0.06,0.00,0.05,0.00,0.01,0.01,0.04,0.00,0.04,0.00,0.01,0.01,0.03
Tmax50,\tau100,StdDev,0.00,0.12,0.00,0.00,0.00,0.04,0.00,0.13,0.00,0.00,0.00,0.09,0.00,0.11,0.00,0.00,0.00,0.05,0.00,0.07,0.00,0.00,0.00,0.04
Tmax50,\tau100,Max,0.012340068817138672,0.4167189598083496,0.005906105041503906,0.019227027893066406,0.01580810546875,0.11654210090637207,0.014856100082397461,0.4336371421813965,0.009212017059326172,0.019507884979248047,0.01864004135131836,0.28476595878601074,0.014515161514282227,0.3866770267486572,0.005575895309448242,0.021803855895996094,0.01642608642578125,0.13346600532531738,0.011363983154296875,0.233597993850708,0.006229877471923828,0.017203807830810547,0.019250869750976562,0.1398630142211914
Tmax50,\tau125,Min,0.0016100406646728516,0.0039370059967041016,0.0019350051879882812,0.00648808479309082,0.002178192138671875,0.008270025253295898,0.0017659664154052734,0.004225015640258789,0.002215147018432617,0.0073359012603759766,0.002413034439086914,0.008362770080566406,0.001489877700805664,0.003634929656982422,0.001811981201171875,0.006082057952880859,0.0020399093627929688,0.007895946502685547,0.0016798973083496094,0.003909111022949219,0.00201416015625,0.006075859069824219,0.002254009246826172,0.008239984512329102
Tmax50,\tau125,Avg,0.00,0.05,0.00,0.01,0.01,0.04,0.00,0.04,0.00,0.01,0.01,0.04,0.01,0.04,0.00,0.01,0.01,0.04,0.00,0.03,0.00,0.01,0.01,0.03
Tmax50,\tau125,StdDev,0.00,0.10,0.00,0.00,0.00,0.06,0.00,0.08,0.00,0.01,0.00,0.06,0.00,0.07,0.00,0.01,0.00,0.06,0.00,0.05,0.00,0.00,0.00,0.05
Tmax50,\tau125,Max,0.012253046035766602,0.3378138542175293,0.006217002868652344,0.023738861083984375,0.013450860977172852,0.2030029296875,0.01465606689453125,0.281113862991333,0.009247064590454102,0.0242459774017334,0.015156030654907227,0.22104501724243164,0.015372037887573242,0.24991512298583984,0.005651950836181641,0.027144908905029297,0.014542102813720703,0.20192599296569824,0.011838912963867188,0.18461394309997559,0.006276130676269531,0.021106958389282227,0.013341188430786133,0.17292284965515137
Tmax50,\tau150,Min,0.0016248226165771484,0.003944873809814453,0.0019519329071044922,0.005856990814208984,0.0021588802337646484,0.009751081466674805,0.0017788410186767578,0.004223823547363281,0.0021860599517822266,0.0068399906158447266,0.002418041229248047,0.009737014770507812,0.0014901161193847656,0.0036439895629882812,0.0018401145935058594,0.00525212287902832,0.002026081085205078,0.009007930755615234,0.0016951560974121094,0.00391387939453125,0.0020110607147216797,0.006311178207397461,0.002248048782348633,0.009013175964355469
Tmax50,\tau150,Avg,0.00,0.06,0.00,0.01,0.01,0.03,0.01,0.07,0.00,0.01,0.01,0.03,0.00,0.03,0.00,0.01,0.00,0.03,0.00,0.04,0.00,0.01,0.01,0.02
Tmax50,\tau150,StdDev,0.00,0.13,0.00,0.00,0.00,0.05,0.00,0.16,0.00,0.00,0.00,0.05,0.00,0.05,0.00,0.01,0.00,0.04,0.00,0.06,0.00,0.00,0.00,0.03
Tmax50,\tau150,Max,0.012252092361450195,0.45798516273498535,0.00606989860534668,0.022410154342651367,0.00798487663269043,0.18445205688476562,0.01599287986755371,0.54329514503479,0.00921010971069336,0.024206876754760742,0.008660078048706055,0.1886730194091797,0.014706850051879883,0.1825120449066162,0.005548954010009766,0.02719593048095703,0.006541013717651367,0.1380469799041748,0.011703968048095703,0.19041895866394043,0.006413936614990234,0.021190881729125977,0.007009029388427734,0.09957098960876465
Tmax75,\tau50,Min,0.0022830963134765625,0.008959054946899414,0.002668142318725586,0.01575016975402832,0.006267070770263672,0.020641803741455078,0.002593994140625,0.00885009765625,0.002856016159057617,0.0161440372467041,0.006281852722167969,0.021198034286499023,0.002095937728881836,0.007391929626464844,0.0023109912872314453,0.011420011520385742,0.00568389892578125,0.017498016357421875,0.002315044403076172,0.007498025894165039,0.0027251243591308594,0.011669158935546875,0.005648136138916016,0.015180826187133789
Tmax75,\tau50,Avg,0.01,0.09,0.01,0.07,0.07,0.33,0.01,0.13,0.01,0.10,0.09,0.41,0.01,0.09,0.01,0.06,0.04,0.27,0.02,0.08,0.01,0.05,0.04,0.25
Tmax75,\tau50,StdDev,0.01,0.13,0.00,0.09,0.12,0.38,0.01,0.21,0.01,0.18,0.12,0.42,0.01,0.16,0.00,0.06,0.05,0.35,0.02,0.10,0.00,0.04,0.05,0.34
Tmax75,\tau50,Max,0.02620387077331543,0.38480496406555176,0.015441179275512695,0.27793192863464355,0.4100759029388428,1.1677641868591309,0.04512906074523926,0.7016990184783936,0.018992900848388672,0.6003379821777344,0.3993978500366211,1.2154881954193115,0.0267179012298584,0.5648441314697266,0.015918970108032227,0.19915485382080078,0.18204903602600098,1.2434961795806885,0.08243107795715332,0.3109149932861328,0.015199899673461914,0.13206887245178223,0.1655738353729248,1.175379991531372
Tmax75,\tau75,Min,0.002295970916748047,0.008783102035522461,0.0026810169219970703,0.0158078670501709,0.006422996520996094,0.02767491340637207,0.002590179443359375,0.008851051330566406,0.0028679370880126953,0.01641702651977539,0.008594989776611328,0.027725934982299805,0.002131938934326172,0.007695913314819336,0.0023260116577148438,0.011428117752075195,0.005170106887817383,0.01979804039001465,0.0023069381713867188,0.0074498653411865234,0.0027599334716796875,0.011516094207763672,0.005904197692871094,0.022942781448364258
Tmax75,\tau75,Avg,0.01,0.08,0.01,0.08,0.05,0.40,0.01,0.10,0.01,0.10,0.06,0.34,0.01,0.12,0.01,0.09,0.03,0.21,0.03,0.07,0.01,0.05,0.04,0.28
Tmax75,\tau75,StdDev,0.01,0.11,0.00,0.12,0.09,0.41,0.01,0.15,0.01,0.17,0.11,0.32,0.01,0.19,0.00,0.14,0.04,0.32,0.04,0.10,0.00,0.05,0.07,0.37
Tmax75,\tau75,Max,0.03129386901855469,0.3769350051879883,0.01681208610534668,0.41167783737182617,0.31067800521850586,1.2994260787963867,0.036251068115234375,0.5054831504821777,0.01944422721862793,0.5883560180664062,0.3745298385620117,1.090904951095581,0.026944875717163086,0.5373921394348145,0.016521215438842773,0.4771749973297119,0.12810277938842773,1.1219780445098877,0.1268610954284668,0.3409550189971924,0.014719963073730469,0.1568009853363037,0.23667407035827637,1.2893640995025635
Tmax75,\tau100,Min,0.0023131370544433594,0.008984088897705078,0.0026810169219970703,0.015817880630493164,0.005421876907348633,0.01731109619140625,0.002576112747192383,0.008826971054077148,0.0028929710388183594,0.01572108268737793,0.005463123321533203,0.01797795295715332,0.0021271705627441406,0.0074040889739990234,0.002299070358276367,0.011489152908325195,0.006604909896850586,0.017628908157348633,0.0023050308227539062,0.0074160099029541016,0.002722024917602539,0.011658906936645508,0.005909919738769531,0.01624298095703125
Tmax75,\tau100,Avg,0.01,0.08,0.01,0.07,0.01,0.19,0.01,0.11,0.01,0.12,0.02,0.16,0.01,0.08,0.01,0.09,0.01,0.21,0.01,0.10,0.01,0.04,0.01,0.24
Tmax75,\tau100,StdDev,0.01,0.12,0.00,0.09,0.01,0.23,0.01,0.18,0.01,0.25,0.01,0.18,0.01,0.12,0.00,0.10,0.01,0.35,0.01,0.16,0.00,0.04,0.01,0.31
Tmax75,\tau100,Max,0.02842092514038086,0.39625120162963867,0.01615118980407715,0.2866079807281494,0.02932882308959961,0.6361119747161865,0.03417682647705078,0.5895020961761475,0.019442081451416016,0.8521420955657959,0.04091215133666992,0.5055718421936035,0.02293992042541504,0.39643001556396484,0.015171051025390625,0.2610280513763428,0.02456808090209961,1.2143921852111816,0.040461063385009766,0.5562648773193359,0.015363931655883789,0.14833402633666992,0.029551982879638672,1.0216500759124756
Tmax75,\tau125,Min,0.002279996871948242,0.008926868438720703,0.0026738643646240234,0.019273996353149414,0.005303144454956055,0.01738715171813965,0.0026051998138427734,0.008810997009277344,0.0028829574584960938,0.01964879035949707,0.005429983139038086,0.01774311065673828,0.0021200180053710938,0.007394075393676758,0.0023229122161865234,0.013265132904052734,0.005980968475341797,0.01770305633544922,0.0023000240325927734,0.007426023483276367,0.0027570724487304688,0.01445913314819336,0.005822896957397461,0.016597986221313477
Tmax75,\tau125,Avg,0.01,0.09,0.01,0.07,0.01,0.14,0.01,0.15,0.01,0.09,0.02,0.21,0.01,0.11,0.01,0.10,0.01,0.28,0.01,0.09,0.01,0.05,0.01,0.21
Tmax75,\tau125,StdDev,0.01,0.15,0.00,0.11,0.01,0.17,0.01,0.25,0.01,0.11,0.01,0.27,0.01,0.16,0.00,0.14,0.01,0.50,0.01,0.16,0.00,0.04,0.01,0.31
Tmax75,\tau125,Max,0.02588200569152832,0.5090649127960205,0.016024112701416016,0.4037821292877197,0.02489614486694336,0.4953169822692871,0.036801815032958984,0.7799930572509766,0.020175933837890625,0.37338805198669434,0.03150606155395508,0.8220429420471191,0.028124094009399414,0.4393448829650879,0.015555143356323242,0.474686861038208,0.021770954132080078,1.700484037399292,0.033898115158081055,0.5485119819641113,0.014744997024536133,0.1553041934967041,0.026216983795166016,1.0714530944824219
Tmax75,\tau150,Min,0.002276897430419922,0.008908987045288086,0.002680063247680664,0.01845097541809082,0.004364013671875,0.021867990493774414,0.002602100372314453,0.008923053741455078,0.002878904342651367,0.01701211929321289,0.004182100296020508,0.02380204200744629,0.0021250247955322266,0.00740504264831543,0.0023260116577148438,0.012780904769897461,0.0038051605224609375,0.021429061889648438,0.002321004867553711,0.007450103759765625,0.0027189254760742188,0.01364588737487793,0.004022836685180664,0.022019147872924805
Tmax75,\tau150,Avg,0.01,0.13,0.01,0.09,0.01,0.14,0.01,0.14,0.01,0.11,0.02,0.25,0.01,0.13,0.01,0.11,0.01,0.18,0.01,0.15,0.01,0.05,0.01,0.18
Tmax75,\tau150,StdDev,0.01,0.21,0.00,0.15,0.01,0.17,0.01,0.25,0.01,0.18,0.01,0.34,0.01,0.20,0.00,0.17,0.01,0.20,0.02,0.22,0.00,0.05,0.01,0.21
Tmax75,\tau150,Max,0.025082826614379883,0.603787899017334,0.01566314697265625,0.5353069305419922,0.02732396125793457,0.43247199058532715,0.03828907012939453,0.8551480770111084,0.018780946731567383,0.6261060237884521,0.03346991539001465,1.0532619953155518,0.026367902755737305,0.6173808574676514,0.015347957611083984,0.600898027420044,0.02465987205505371,0.55181884765625,0.0567779541015625,0.6415009498596191,0.014586925506591797,0.17897987365722656,0.025604963302612305,0.719135046005249
