 , , ,F1D1T5,F1D1T10,F1D2T5,F1D2T10,F1D3T5,F1D3T10,F2D1T5,F2D1T10,F2D2T5,F2D2T10,F2D3T5,F2D3T10,F3D1T5,F3D1T10,F3D2T5,F3D2T10,F3D3T5,F3D3T10,F4D1T5,F4D1T10,F4D2T5,F4D2T10,F4D3T5,F4D3T10
Tmax50,\tau50,Min,0.0014619827270507812,0.0027840137481689453,0.0013799667358398438,0.003757953643798828,0.002801179885864258,0.0042819976806640625,0.0015590190887451172,0.0029408931732177734,0.0012772083282470703,0.004042863845825195,0.0028839111328125,0.00454401969909668,0.0013921260833740234,0.0026290416717529297,0.0012819766998291016,0.0035691261291503906,0.0027518272399902344,0.004045009613037109,0.0015370845794677734,0.0028879642486572266,0.0013980865478515625,0.0036640167236328125,0.002650022506713867,0.004343986511230469
Tmax50,\tau50,Avg,0.00,0.04,0.00,0.01,0.01,0.05,0.00,0.04,0.00,0.01,0.01,0.08,0.00,0.03,0.00,0.01,0.01,0.06,0.00,0.03,0.00,0.01,0.01,0.04
Tmax50,\tau50,StdDev,0.00,0.11,0.00,0.00,0.01,0.07,0.00,0.08,0.00,0.00,0.01,0.15,0.00,0.05,0.00,0.00,0.00,0.09,0.00,0.05,0.00,0.00,0.00,0.04
Tmax50,\tau50,Max,0.009341955184936523,0.36429476737976074,0.005075216293334961,0.014567136764526367,0.04070115089416504,0.19478607177734375,0.011868000030517578,0.28836584091186523,0.005177974700927734,0.012439966201782227,0.023761987686157227,0.5244660377502441,0.009414911270141602,0.18233609199523926,0.004714012145996094,0.012842893600463867,0.015021085739135742,0.28548121452331543,0.007875919342041016,0.18733906745910645,0.00421905517578125,0.011089086532592773,0.01421213150024414,0.1384601593017578
Tmax50,\tau75,Min,0.0014600753784179688,0.0023860931396484375,0.0013799667358398438,0.003801107406616211,0.002070903778076172,0.004950046539306641,0.0015912055969238281,0.002527952194213867,0.001483917236328125,0.004119873046875,0.002089977264404297,0.00471806526184082,0.0013918876647949219,0.0022749900817871094,0.0012810230255126953,0.0035500526428222656,0.0018310546875,0.004160881042480469,0.0014870166778564453,0.0023620128631591797,0.00139617919921875,0.003785848617553711,0.0019369125366210938,0.004505157470703125
Tmax50,\tau75,Avg,0.00,0.06,0.00,0.01,0.01,0.02,0.00,0.08,0.00,0.01,0.01,0.02,0.00,0.03,0.00,0.01,0.01,0.03,0.00,0.02,0.00,0.01,0.01,0.03
Tmax50,\tau75,StdDev,0.00,0.16,0.00,0.00,0.00,0.02,0.00,0.21,0.00,0.00,0.00,0.02,0.00,0.05,0.00,0.00,0.00,0.06,0.00,0.05,0.00,0.00,0.00,0.04
Tmax50,\tau75,Max,0.01001882553100586,0.5531787872314453,0.004936933517456055,0.014672040939331055,0.013283014297485352,0.05775189399719238,0.011677026748657227,0.7077369689941406,0.004882097244262695,0.01229095458984375,0.013214826583862305,0.05450582504272461,0.009917974472045898,0.16918611526489258,0.0046918392181396484,0.012924909591674805,0.011610984802246094,0.19919610023498535,0.009093999862670898,0.16743206977844238,0.004430055618286133,0.011111021041870117,0.010985851287841797,0.13215208053588867
Tmax50,\tau100,Min,0.0014979839324951172,0.0024499893188476562,0.0013790130615234375,0.0035338401794433594,0.0018439292907714844,0.005728960037231445,0.0015621185302734375,0.0025339126586914062,0.0014719963073730469,0.003930091857910156,0.0019330978393554688,0.005816936492919922,0.0013930797576904297,0.0022590160369873047,0.0013170242309570312,0.0036699771881103516,0.0018548965454101562,0.005095958709716797,0.0015082359313964844,0.0024170875549316406,0.0013949871063232422,0.0038399696350097656,0.0018579959869384766,0.005053997039794922
Tmax50,\tau100,Avg,0.00,0.03,0.00,0.01,0.01,0.02,0.00,0.04,0.00,0.01,0.01,0.02,0.00,0.02,0.00,0.01,0.01,0.02,0.00,0.02,0.00,0.01,0.01,0.02
Tmax50,\tau100,StdDev,0.00,0.06,0.00,0.00,0.00,0.02,0.00,0.09,0.00,0.00,0.00,0.02,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.05,0.00,0.00,0.00,0.02
Tmax50,\tau100,Max,0.010415077209472656,0.20648193359375,0.004867076873779297,0.014590978622436523,0.010959863662719727,0.04873299598693848,0.012233972549438477,0.292248010635376,0.005138874053955078,0.012449979782104492,0.012187004089355469,0.047785043716430664,0.01059103012084961,0.15879201889038086,0.004676103591918945,0.01276707649230957,0.010538101196289062,0.03737187385559082,0.008994102478027344,0.15909695625305176,0.004248142242431641,0.011205911636352539,0.009887933731079102,0.05558490753173828
Tmax50,\tau125,Min,0.0014879703521728516,0.002432107925415039,0.0013890266418457031,0.0030591487884521484,0.0015189647674560547,0.004221916198730469,0.0015070438385009766,0.0025260448455810547,0.001486063003540039,0.003222942352294922,0.0016238689422607422,0.005059003829956055,0.0014119148254394531,0.002257108688354492,0.0012819766998291016,0.0029141902923583984,0.0014891624450683594,0.00454401969909668,0.0015628337860107422,0.002374887466430664,0.0013928413391113281,0.0030670166015625,0.0015649795532226562,0.004736900329589844
Tmax50,\tau125,Avg,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.06,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.01
Tmax50,\tau125,StdDev,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.17,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.04,0.00,0.04,0.00,0.00,0.00,0.01
Tmax50,\tau125,Max,0.010907888412475586,0.13495993614196777,0.004975795745849609,0.01160287857055664,0.009387016296386719,0.03430795669555664,0.01188206672668457,0.5610349178314209,0.004909992218017578,0.00997304916381836,0.007797956466674805,0.04347491264343262,0.009907960891723633,0.09952616691589355,0.00470280647277832,0.010168075561523438,0.008507013320922852,0.125,0.009103059768676758,0.13093900680541992,0.004422903060913086,0.008912086486816406,0.006657838821411133,0.030863046646118164
Tmax50,\tau150,Min,0.0014770030975341797,0.0024259090423583984,0.0013799667358398438,0.003039121627807617,0.001516103744506836,0.004260063171386719,0.0015230178833007812,0.0025298595428466797,0.0014879703521728516,0.003223896026611328,0.0016331672668457031,0.005245208740234375,0.0014331340789794922,0.002259969711303711,0.0012798309326171875,0.0028829574584960938,0.0014350414276123047,0.004498004913330078,0.001550912857055664,0.0024118423461914062,0.0013980865478515625,0.0030689239501953125,0.0015521049499511719,0.004639148712158203
Tmax50,\tau150,Avg,0.00,0.04,0.00,0.01,0.00,0.01,0.00,0.03,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01
