 , , ,F1,F1,F1,F1,F2,F2,F2,F2,F3,F3,F3,F3,F4,F4,F4,F4
 , , ,D2,D2,D3,D3,D2,D2,D3,D3,D2,D2,D3,D3,D2,D2,D3,D3
 , , ,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10
Tmax300,tau50,Iter8,0.00,0.01,0.09,0.16,0.01,0.04,0.06,0.44,0.00,0.01,0.06,0.20,0.01,0.05,0.03,0.14
Tmax300,tau50,Iter9,0.01,0.03,0.13,1.00,0.04,0.22,0.12,3.25,0.01,0.03,0.13,1.53,0.01,0.26,0.14,3.41
Tmax300,tau75,Iter0,0.00,0.11,0.08,0.24,0.01,0.04,0.09,0.31,0.00,0.05,0.06,0.24,0.01,0.04,0.08,0.39
Tmax300,tau75,Iter1,0.01,0.10,0.15,0.24,0.04,0.19,0.25,1.12,0.01,0.05,0.06,0.20,0.10,0.41,0.20,1.11
Tmax300,tau75,Iter2,0.00,0.01,0.01,0.05,0.01,0.03,0.01,0.11,0.00,0.01,0.05,0.13,0.01,0.03,0.01,0.12
Tmax300,tau75,Iter3,0.00,0.01,0.13,0.16,0.01,0.08,0.04,0.34,0.00,0.01,0.06,0.13,0.01,0.07,0.08,0.42
Tmax300,tau75,Iter4,0.03,0.28,0.03,0.35,0.02,0.31,0.08,1.16,0.04,0.57,0.06,0.31,0.02,0.32,0.07,0.81
Tmax300,tau75,Iter5,0.00,0.01,0.07,0.23,0.01,0.04,0.07,0.27,0.00,0.01,0.06,0.27,0.01,0.05,0.16,0.27
Tmax300,tau75,Iter6,0.00,0.01,0.07,0.05,0.01,0.09,0.08,0.07,0.00,0.01,0.05,0.03,0.01,0.03,0.09,0.06
Tmax300,tau75,Iter7,0.01,0.16,0.21,0.49,0.02,0.35,0.14,1.51,0.01,0.16,0.15,0.41,0.02,0.18,0.14,1.11
Tmax300,tau75,Iter8,0.04,0.14,0.13,0.53,0.11,0.69,0.32,1.78,0.03,0.19,0.13,0.62,0.12,0.36,0.19,2.16
Tmax300,tau75,Iter9,0.05,7.45,0.39,52.91,0.08,0.96,0.43,12.21,0.05,2.98,0.21,20.46,0.04,0.72,0.30,18.24
