Instance,Task count,Recharge count,Distance,Travelled,by each,robot
F1R2D2T5Delta150Tmax600Iter9,2,0,0,365.5240697,,
F1R2D2T10Delta50Tmax150Iter0,0,0,0,0,,
F1R2D2T10Delta50Tmax150Iter1,3,0,56.9529893,0,,
F1R2D2T10Delta50Tmax150Iter2,1,0,0,19.57038507,,
F1R2D2T10Delta50Tmax150Iter3,0,0,0,0,,
F1R2D2T10Delta50Tmax150Iter4,1,0,0,17.8575932,,
F1R2D2T10Delta50Tmax150Iter5,0,0,0,0,,
F1R2D2T10Delta50Tmax150Iter6,1,0,19.99792048,0,,
F1R2D2T10Delta50Tmax150Iter7,0,0,0,0,,
F1R2D2T10Delta50Tmax150Iter8,0,0,0,0,,
F1R2D2T10Delta50Tmax150Iter9,1,0,13.98754357,0,,
F1R2D2T10Delta50Tmax300Iter0,0,0,0,0,,
F1R2D2T10Delta50Tmax300Iter1,3,0,56.9529893,0,,
F1R2D2T10Delta50Tmax300Iter2,1,0,0,19.57038507,,
F1R2D2T10Delta50Tmax300Iter3,0,0,0,0,,
F1R2D2T10Delta50Tmax300Iter4,1,0,0,17.8575932,,
F1R2D2T10Delta50Tmax300Iter5,0,0,0,0,,
F1R2D2T10Delta50Tmax300Iter6,1,0,19.99792048,0,,
F1R2D2T10Delta50Tmax300Iter7,0,0,0,0,,
F1R2D2T10Delta50Tmax300Iter8,0,0,0,0,,
F1R2D2T10Delta50Tmax300Iter9,1,0,13.98754357,0,,
F1R2D2T10Delta50Tmax600Iter0,0,0,0,0,,
F1R2D2T10Delta50Tmax600Iter1,3,0,56.9529893,0,,
F1R2D2T10Delta50Tmax600Iter2,1,0,0,19.57038507,,
F1R2D2T10Delta50Tmax600Iter3,0,0,0,0,,
F1R2D2T10Delta50Tmax600Iter4,1,0,0,17.8575932,,
F1R2D2T10Delta50Tmax600Iter5,0,0,0,0,,
F1R2D2T10Delta50Tmax600Iter6,1,0,19.99792048,0,,
F1R2D2T10Delta50Tmax600Iter7,0,0,0,0,,
F1R2D2T10Delta50Tmax600Iter8,0,0,0,0,,
F1R2D2T10Delta50Tmax600Iter9,1,0,13.98754357,0,,
F1R2D2T10Delta75Tmax150Iter0,2,0,29.50159055,32.72999161,,
F1R2D2T10Delta75Tmax150Iter1,2,0,56.9529893,0,,
F1R2D2T10Delta75Tmax150Iter2,1,0,19.57038507,0,,
F1R2D2T10Delta75Tmax150Iter3,1,0,33.08289397,0,,
F1R2D2T10Delta75Tmax150Iter4,2,0,17.8575932,26.11757142,,
F1R2D2T10Delta75Tmax150Iter5,3,0,57.89849279,31.77660507,,
F1R2D2T10Delta75Tmax150Iter6,2,0,83.24676067,0,,
F1R2D2T10Delta75Tmax150Iter7,1,0,28.88278361,0,,
F1R2D2T10Delta75Tmax150Iter8,2,0,34.44572056,27.73243016,,
F1R2D2T10Delta75Tmax150Iter9,2,0,79.01480237,0,,
F1R2D2T10Delta75Tmax300Iter0,2,0,62.23158216,0,,
F1R2D2T10Delta75Tmax300Iter1,2,0,41.25366056,15.69932875,,
F1R2D2T10Delta75Tmax300Iter2,1,0,19.57038507,0,,
F1R2D2T10Delta75Tmax300Iter3,1,0,33.08289397,0,,
F1R2D2T10Delta75Tmax300Iter4,2,0,17.8575932,26.11757142,,
F1R2D2T10Delta75Tmax300Iter5,3,0,32.41431578,57.26078208,,
F1R2D2T10Delta75Tmax300Iter6,2,0,83.24676067,0,,
F1R2D2T10Delta75Tmax300Iter7,1,0,0,28.88278361,,
F1R2D2T10Delta75Tmax300Iter8,2,0,62.17815072,0,,
F1R2D2T10Delta75Tmax300Iter9,2,0,36.46561266,42.54918971,,
F1R2D2T10Delta75Tmax600Iter0,2,0,62.23158216,0,,
F1R2D2T10Delta75Tmax600Iter1,2,0,41.25366056,15.69932875,,
F1R2D2T10Delta75Tmax600Iter2,1,0,19.57038507,0,,
F1R2D2T10Delta75Tmax600Iter3,1,0,33.08289397,0,,
F1R2D2T10Delta75Tmax600Iter4,2,0,17.8575932,26.11757142,,
F1R2D2T10Delta75Tmax600Iter5,3,0,32.41431578,57.26078208,,
F1R2D2T10Delta75Tmax600Iter6,2,0,0,83.24676067,,
F1R2D2T10Delta75Tmax600Iter7,1,0,28.88278361,0,,
F1R2D2T10Delta75Tmax600Iter8,2,0,27.73243016,34.44572056,,
F1R2D2T10Delta75Tmax600Iter9,2,0,36.46561266,42.54918971,,
F1R2D2T10Delta150Tmax150Iter0,2,0,71.19754195,260.8336098,,
F1R2D2T10Delta150Tmax150Iter1,2,0,84.18346487,82.61814929,,
F1R2D2T10Delta150Tmax150Iter2,2,0,115.3231942,124.4670934,,
F1R2D2T10Delta150Tmax150Iter3,2,0,136.1345697,108.1578512,,
F1R2D2T10Delta150Tmax150Iter4,2,0,66.68534486,67.92838863,,
F1R2D2T10Delta150Tmax150Iter5,2,0,99.58942493,115.4664197,,
F1R2D2T10Delta150Tmax150Iter6,2,0,152.5819683,48.53294787,,
